"ff","Dim2","rr","Val"
"lab","oap","TWN",0.161727096535868
"lab","oap","IND",0.00056532968464935
"lab","oap","CAN",0.036559145006956
"lab","oap","USA",0.0249023742384664
"lab","oap","MEX",0.00465390651040457
"lab","oap","BRA",0.258365127415289
"lab","oap","RUS",0.273285509269541
"lab","oap","LAM",0.0451990333978056
"lab","oap","EUR",0.36327911164137
"lab","oap","ROE",0.128590329994791
"lab","oap","ASI",0.00536212224011682
"lab","oap","REA",0.0298269634759257
"lab","oap","ANZ",-0.0126261005896518
"lab","oap","MES",0.198304092751725
"lab","oap","AFR",0.0703638915162405
"lab","oap","IDZ",0.0148726587774629
"lab","rmk","CHN",-0.0137811250673098
"lab","rmk","JPN",0.0670128379405759
"lab","rmk","KOR",-0.0102116523964208
"lab","rmk","TWN",0.161727093583672
"lab","rmk","IND",0.000565294326973715
"lab","rmk","CAN",0.0391036601874846
"lab","rmk","USA",0.0221077189350676
"lab","rmk","MEX",0.00400733885174767
"lab","rmk","BRA",0.258365288823171
"lab","rmk","RUS",0.273285621454725
"lab","rmk","LAM",0.0660952052310114
"lab","rmk","EUR",0.377662675513408
"lab","rmk","ROE",0.114930729994602
"lab","rmk","ASI",0.0178013889124621
"lab","rmk","REA",0.0226679575725952
"lab","rmk","ANZ",0.00478508726820024
"lab","rmk","MES",0.181538446462056
"lab","rmk","AFR",0.0371896221028996
"lab","rmk","IDZ",0.014783740125767
"lab","wol","CHN",-0.0139042728066802
"lab","wol","JPN",0.0657799442260164
"lab","wol","KOR",-0.00891822670939544
"lab","wol","IND",0.000565283729321659
"lab","wol","CAN",0.0595041865668479
"lab","wol","BRA",0.258365298747589
"lab","wol","RUS",0.273285483392641
"lab","wol","LAM",0.101376100424561
"lab","wol","EUR",0.336803262185774
"lab","wol","ROE",0.136942366485956
"lab","wol","ASI",0.0185014811505929
"lab","wol","REA",0.202185224473481
"lab","wol","ANZ",-0.0486991659475451
"lab","wol","MES",0.212698027310577
"lab","wol","AFR",0.032010822423736
"lab","wol","IDZ",0.0148723840561989
"lab","frs","JPN",0.192801930843222
"lab","frs","KOR",0.0482198143254201
"lab","frs","TWN",0.161727125341694
"lab","frs","IND",0.000565271210967597
