"ii","rr","ss","Val"
"v_f","TWN","MES",0.00341607169695388
"v_f","TWN","AFR",0.120829393214203
"v_f","TWN","IDZ",0.0370726444715905
"v_f","IND","CHN",0.01932043877045
"v_f","IND","JPN",0.00274673107198997
"v_f","IND","KOR",0.0734330174459121
"v_f","IND","TWN",0.12232038608345
"v_f","IND","CAN",0.00404433582212071
"v_f","IND","USA",0.000913760303647759
"v_f","IND","MEX",0.194698818438649
"v_f","IND","BRA",0.0820571236106433
"v_f","IND","RUS",0.0704002013717451
"v_f","IND","LAM",0.159254493754156
"v_f","IND","EUR",0.0230775320133134
"v_f","IND","ROE",0.169651774115759
"v_f","IND","ASI",0.0270820881705818
"v_f","IND","REA",0.137562917101746
"v_f","IND","ANZ",0.00158995382317254
"v_f","IND","MES",0.0377894714750373
"v_f","IND","AFR",0.111723400446601
"v_f","IND","IDZ",0.0577466246661404
"v_f","CAN","CHN",0.0247280010233282
"v_f","CAN","JPN",1.9641561095724
"v_f","CAN","KOR",0.425560540571321
"v_f","CAN","TWN",0.16069880280002
"v_f","CAN","IND",0.443777475943196
"v_f","CAN","BRA",0.0489976160797005
"v_f","CAN","RUS",0.149187700537052
"v_f","CAN","LAM",0.0850593690619533
"v_f","CAN","EUR",0.00773038981055116
"v_f","CAN","ROE",0.143248994349439
"v_f","CAN","ASI",0.214489895535792
"v_f","CAN","REA",0.0376335549545529
"v_f","CAN","ANZ",0.0053680606492251
"v_f","CAN","MES",0.0582045342367237
"v_f","CAN","AFR",0.0649269035714597
"v_f","CAN","IDZ",0.12556786561025
"v_f","USA","CHN",0.0589847147868087
"v_f","USA","JPN",0.0985102222343341
"v_f","USA","KOR",0.432277588321019
"v_f","USA","TWN",0.150114854929764
"v_f","USA","IND",0.281487992021533
"v_f","USA","MEX",0.0511477692467228
"v_f","USA","BRA",0.0976144353646975
"v_f","USA","RUS",0.0409818621329361
"v_f","USA","LAM",0.117282682094566
"v_f","USA","EUR",0.0307114284524011
"v_f","USA","ROE",0.347337983818033
"v_f","USA","ASI",0.0684100619315203
"v_f","USA","REA",0.122862776673891
"v_f","USA","ANZ",0.00365924801876436
"v_f","USA","MES",0.0480126063117549
"v_f","USA","AFR",0.161779596896103
"v_f","USA","IDZ",0.0556597738722084
"v_f","MEX","JPN",0.000679825480897511
"v_f","MEX","KOR",0.676591203948018
"v_f","MEX","TWN",0.0598187147127029
"v_f","MEX","IND",0.301443115590352
"v_f","MEX","BRA",0.0093456491377284
"v_f","MEX","RUS",0.0497537435630382
"v_f","MEX","LAM",0.0443674811154064
"v_f","MEX","EUR",0.0221920098339466
"v_f","MEX","ROE",0.103968815702843
"v_f","MEX","REA",0.0176206983223394
"v_f","MEX","ANZ",0.017648486335317
"v_f","MEX","MES",0.0379609043107968
"v_f","MEX","AFR",0.0720019258873982
"v_f","MEX","IDZ",0.0499999568896765
"v_f","BRA","CHN",0.049858582046176
"v_f","BRA","JPN",0.118514198911369
"v_f","BRA","KOR",0.170975430930409
"v_f","BRA","TWN",0.671125155824064
"v_f","BRA","IND",0.295920156097848
"v_f","BRA","CAN",0.00436054270674657
"v_f","BRA","USA",0.00182668256305973
"v_f","BRA","MEX",0.126910461894699
"v_f","BRA","RUS",0.0467021623383681
"v_f","BRA","LAM",0.0108779696880581
"v_f","BRA","EUR",0.0569731210229855
"v_f","BRA","ROE",0.103243608813812
"v_f","BRA","ASI",0.0785378260412825
"v_f","BRA","REA",0.2431069921066
"v_f","BRA","MES",0.0479691141348434
"v_f","BRA","AFR",0.1055769264019
"v_f","BRA","IDZ",0.107622000801189
"v_f","RUS","CHN",0.192948910292878
"v_f","RUS","JPN",0.0395850122150849
"v_f","RUS","KOR",0.308328091247432
"v_f","RUS","IND",0.423966181808911
